Vatten_ID,EU_CD,County,County_no
WA88099931,SE733112-185221,Norrbotten,25
WA88101732,SE634549-141991,Jönköping,06
WA88104289,SE689795-135236,Jämtland,23
WA88109240,SE717072-150088,Västerbotten,24
WA88110780,SE706668-135182,Jämtland,23
WA88111205,SE695908-156219,Västernorrland,22
WA88111253,SE700883-162965,Västernorrland,22
WA88118736,SE705544-612386,Västernorrland,22
WA88123790,SE685288-153376,Gävleborg,21
WA88124643,SE706467-134444,Jämtland,23
WA88126763,SE667348-135555,Värmland,17
WA88129080,SE708255-169910,Västerbotten,24
WA88135349,SE688770-132970,Dalarna,20
WA88141020,SE715159-162677,Västerbotten,24
WA88144171,SE698631-141311,Jämtland,23
WA88155886,SE724567-173009,Norrbotten,25
WA88162985,SE706725-154284,Västernorrland,22
WA88168595,SE678103-153951,Gävleborg,21
WA88184812,SE643062-144673,Jönköping,06
WA88188310,SE723200-145406,Västerbotten,24
WA88189409,SE711294-164642,Västerbotten,24
WA88189976,SE735990-150524,Norrbotten,25
WA88195620,SE731906-812172,Norrbotten,25
WA88197929,SE731146-170988,Norrbotten,25
WA88207863,SE635781-407456,Jönköping,06
WA88217335,SE659495-146263,Örebro,18
WA88218087,SE734942-175358,Norrbotten,25
WA88220264,SE630465-132805,Halland,13
WA88225995,SE750461-166328,Norrbotten,25
WA88228469,SE699016-151830,Jämtland,23
WA88235331,SE732656-185434,Norrbotten,25
WA88246361,SE739078-154606,Norrbotten,25
WA88247405,SE667725-145116,Dalarna,20
WA88255182,SE753680-173549,Norrbotten,25
WA88256429,SE641442-127853,Västra Götaland,14
WA88256993,SE739046-172558,Norrbotten,25
WA88264243,SE726254-152327,Västerbotten,24
WA88272371,SE651337-156489,Södermanland,04
WA88272385,SE696124-132107,Jämtland,23
WA88284103,SE703843-139473,Jämtland,23
WA88286177,SE689072-580544,Gävleborg,21
WA88286975,SE691213-145907,Västernorrland,22
WA88287496,SE703182-157544,Västernorrland,22
WA88303592,SE638870-547752,Kalmar,08
WA88304211,SE727155-156203,Västerbotten,24
WA88313222,SE719426-169841,Västerbotten,24
WA88322956,SE701787-132122,Jämtland,23
WA88323782,SE637318-137283,Jönköping,06
WA88340852,SE687085-152053,Gävleborg,21
WA88342380,SE729427-506226,Västerbotten,24
WA88348890,SE690520-150694,Gävleborg,21
WA88352687,SE632298-135549,Halland,13
WA88359412,SE700743-146109,Jämtland,23
WA88361224,SE748060-159494,Norrbotten,25
WA88362826,SE618490-416649,Skåne,12
WA88369128,SE705020-133282,Jämtland,23
WA88378649,SE637960-132204,Västra Götaland,14
WA88380317,SE721830-605372,Västerbotten,24
WA88391360,SE719078-163762,Västerbotten,24
WA88394686,SE693104-154887,Västernorrland,22
WA88402116,SE701529-149116,Jämtland,23
WA88405814,SE730885-152523,Västerbotten,24
WA88407593,SE720565-155874,Västerbotten,24
WA88424317,SE635327-133802,Västra Götaland,14
WA88424840,SE737782-573695,Norrbotten,25
WA88429959,SE682495-154115,Gävleborg,21
WA88437626,SE668691-154888,Gävleborg,21
WA88445565,SE686813-133596,Dalarna,20
WA88447322,SE682153-147331,Gävleborg,21
WA88447737,SE659484-364911,Värmland,17
WA88449354,SE680592-149492,Gävleborg,21
WA88451151,SE692866-133819,Jämtland,23
WA88452911,SE675261-157165,Gävleborg,21
WA88456222,SE665263-130646,Värmland,17
WA88456222,SE665263-130646,Hedmark,N4
WA88459094,SE680738-151302,Gävleborg,21
