Vatten_ID,EU_CD,Municipality,Municipality_no
WA48913062,SE631409-387049,Hylte,1315
WA48918313,SE645406-125389,Orust,1421
WA48919271,SE653565-149017,Finspång,0562
WA48919271,SE653565-149017,Hallsberg,1861
WA48921175,SE729661-173513,Älvsbyn,2560
WA48921873,SE708410-169446,Vännäs,2460
WA48922821,SE733524-181752,Kalix,2514
WA48930616,SE690953-143741,Berg,2326
WA48930616,SE690953-143741,Härjedalen,2361
WA48945123,SE690825-134135,Härjedalen,2361
WA48957985,SE696253-151317,Bräcke,2305
WA48960650,SE669143-138499,Hagfors,1783
WA48970985,SE655259-151364,Vingåker,0428
WA48971824,SE636639-151770,Hultsfred,0860
WA48971824,SE636639-151770,Oskarshamn,0882
WA48972945,SE679572-154408,Bollnäs,2183
WA48986891,SE632837-130889,Falkenberg,1382
WA48991960,SE715436-157904,Vilhelmina,2462
WA48992634,SE728947-165657,Arvidsjaur,2505
WA48999861,SE709567-154745,Sollefteå,2283
WA49002183,SE759576-160921,Kiruna,2584
WA49007690,SE717559-161873,Lycksele,2481
WA49012733,SE614913-135332,Skurup,1264
WA49012733,SE614913-135332,Svedala,1263
WA49012733,SE614913-135332,Trelleborg,1287
WA49020904,SE711543-144201,Krokom,2309
WA49030813,SE728852-169976,Arvidsjaur,2505
WA49035373,SE674971-149523,Falun,2080
WA49039792,SE658722-149039,Arboga,1984
